"TAB_MEASURE_LABEL","n"
"Logements – Autres logements de métropole",83110
"Logements – Résidences principales x De 1971 à 1990 x Maison",82997
"Nombre d’emplois – Industrie manufacturière, industries extractives et autres",82948
"Logements – Résidences principales x Gaz de ville - réseau de chaleur",82607
"Population – De 15 à 24 ans  x Homme",82528
"Logements – Résidences principales x De 1991 à 2005 x Maison",82464
"Population – De 15 à 24 ans  x Femme",82220
"Logements – Résidences principales x De 1946 à 1970 x Maison",82215
"Logements – Résidences principales x De 1919 à 1945 x Maison",82028
"Logements – Résidences principales x 1 pièce",82006
"Logements – Résidences principales x De 2006 à AAAA x Maison",81879
"Population – 15 ans ou plus x Etudiants ou élèves",80882
"Nombre de famille – Famille avec un père seul",78908
"Population – Autre logement dans la même commune x De 1 à 14 ans",77862
"Logements – Ménage sans famille à plusieurs personnes ",75435
"Population des ménages – Ménage sans famille à plusieurs personnes ",75435
"Nombre de pièces – Résidences principales x Autres logements de métropole",73359
"Logements – Résidences principales x Autres logements de métropole",73359
"Logements – Résidences principales x Locataire de logement parc social vide",73092
"Population des ménages – Résidences principales x Locataire de logement parc social vide",73092
"Population – Autre logement dans la même commune x De 15 à 24 ans ",71893
"Population – Autre logement dans la même commune x 55 ans ou plus",71132
"Nombre d’électeurs – France x Élection municipale",70136
"Nombre de famille – 4 enfants ou plus de moins de 24 ans",70014
"Nombre d’emplois – Salariés x Administration publique, enseignement, santé humaine et action sociale",67700
"Nombre d’emplois – Salariés x Services principalement marchands",66762
"Population – 1 an ou plus x Hors métropole ou DOM",65519
"Logements – Résidences principales x Avant 1919 x Appartement",56688
"Logements – Résidences principales x De 1991 à 2005 x Appartement",52009
"Logements – Résidences principales x De 1946 à 1970 x Appartement",51519
"Logements – Résidences principales x De 1971 à 1990 x Appartement",51440
"Nombre d’emplois – Salariés x Construction",50604
"Nombre d’emplois – Salariés x Industrie manufacturière, industries extractives et autres",49960
"Salaire net EQTP mensuel moyen",49428
"Salaire net EQTP mensuel moyen – Femme",49428
"Salaire net EQTP mensuel moyen – Homme",49428
"Logements – Résidences principales x De 1919 à 1945 x Appartement",48668
"Logements – Résidences principales x De 2006 à AAAA x Appartement",46391
"Nombre d’emplois – Salariés x Agriculture, sylviculture et pêche",45574
"Établissements – Ensemble hors particuliers employeurs x Établissements appartenant à la sphère productive",41813
"Effectifs présents la dernière semaine de décembre – Ensemble hors particuliers employeurs x Établissements appartenant à la sphère productive",41813
"Établissements – Ensemble hors particuliers employeurs",41813
"Effectifs présents la dernière semaine de décembre – 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres x 200 à 499 salariés",41813
"Établissements – Services principalement marchands x 5 à 9 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 1 à 4 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 0 salarié",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 100 à 199 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 20 à 49 salariés",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 10 à 19 salariés",41813
"Effectifs présents la dernière semaine de décembre – Construction x 5 à 9 salariés",41813
"Effectifs présents la dernière semaine de décembre – 200 à 499 salariés",41813
"Établissements – Administration publique, enseignement, santé humaine et action sociale x 500 salariés et plus",41813
"Établissements – Industrie manufacturière, industries extractives et autres x 50 à 99 salariés",41813
"Établissements – Construction x 1 à 4 salariés",41813
"Établissements – Services principalement marchands x 100 à 199 salariés",41813
"Effectifs présents la dernière semaine de décembre – Agriculture, sylviculture et pêche x 500 salariés et plus",41813
"Effectifs présents la dernière semaine de décembre – Industrie manufacturière, industries extractives et autres",41813
"Effectifs présents la dernière semaine de décembre – Administration publique, enseignement, santé humaine et action sociale x 5 à 9 salariés",41813
